Pavadinimas,Metai,Trukmė,Žanras,Reitingas
Red Dawn,1990,96 ,"Drama, Thriller",8.0
A Northern Story of Valor,1989,168 ,"Drama, History",8.7
"Bashu, the Little Stranger",1989,120 ,"Drama, War",8.0
Les sièges de l'Alcazar,1989,54 ,Comedy,7.4
My Left Foot,1989,103 ,"Biography, Drama",7.8
The Unbelievable Truth,1989,90 ,"Comedy, Drama, Romance",7.2
Monsieur Hire,1989,81 ,"Crime, Drama, Romance",7.5
What Time Is It?,1989,97 ,"Comedy, Drama",7.3
Glory,1989,122 ,"Biography, Drama, History",7.8
Roger & Me,1989,91 ,Documentary,7.5
Steel Magnolias,1989,117 ,"Comedy, Drama, Romance",7.3
Life and Nothing But,1989,135 ,"Drama, War",7.5
Revenge,1989,100 ,"Drama, History",7.2
"Sitting on a Branch, Enjoying Myself",1989,110 ,"Comedy, Drama",7.6
Boris Godounov,1989,118 ,"Musical, Drama",7.2
Jesus of Montreal,1989,120 ,"Drama, Romance",7.5
Longtime Companion,1989,96 ,"Drama, Romance",7.5
The Winter War,1989,199 ,"Drama, History, War",7.6
Sweetie,1989,97 ,"Comedy, Drama",6.7
Lean on Me,1989,108 ,Drama,7.4
Baxter,1989,82 ,"Comedy, Drama, Horror",6.7
Last Exit to Brooklyn,1989,102 ,Drama,6.8
White Wedding,1989,92 ,"Drama, Romance",6.9
Valmont,1989,137 ,"Drama, Romance",7.0
Strangers in Good Company,1990,101 ,"Adventure, Drama",7.7
ABC da Greve,1990,75 ,Documentary,7.9
American Dream,1990,98 ,Documentary,7.8
Trust,1990,107 ,"Comedy, Crime, Drama",7.4
Bullet in the Head,1990,136 ,"Action, Crime, Drama",7.5
Life Is Sweet,1990,103 ,"Comedy, Drama",7.4
To Sleep with Anger,1990,102 ,Drama,7.2
"No, or The Vain Glory of Command",1990,110 ,"Drama, History, War",7.2
Step Across the Border,1990,90 ,"Documentary, Music",8.0
An Angel at My Table,1990,158 ,"Biography, Drama",7.4
How to Live in the German Federal Republic,1990,83 ,Documentary,7.6
Freeze Die Come to Life,1990,105 ,Drama,7.6
Metropolitan,1990,98 ,"Comedy, Drama, Romance",7.3
My Mother's Castle,1990,98 ,"Adventure, Biography, Comedy",7.6
Ju Dou,1990,95 ,"Drama, Romance",7.6
My Father's Glory,1990,105 ,"Adventure, Biography, Drama",7.6
Cloud-Paradise,1990,76 ,Drama,7.7
The Hairdresser's Husband,1990,82 ,"Comedy, Drama, Romance",7.1
Cyrano de Bergerac,1990,137 ,"Comedy, Drama, History",7.5
The Hunt for Red October,1990,135 ,"Action, Adventure, Thriller",7.5
Pump Up the Volume,1990,102 ,"Comedy, Drama, Music",7.2
Journey of Hope,1990,105 ,"Adventure, Drama",7.5
Truly Madly Deeply,1990,106 ,"Comedy, Drama, Fantasy",7.2
Le party,1990,103 ,Drama,7.0
The Voyage of Captain Fracassa,1990,132 ,"Adventure, Comedy, History",7.3
Escape from the 'Liberty' Cinema,1990,92 ,"Comedy, Drama, Fantasy",7.1
Mo' Better Blues,1990,130 ,"Drama, Music, Romance",6.7
"Oh, Carmela!",1990,102 ,"Comedy, Drama, War",7.1
Tremors,1990,96 ,"Comedy, Horror",7.1
Hamoun,1990,120 ,Drama,7.9
Mountains of the Moon,1990,136 ,"Adventure, Drama, History",7.1
"After Dark, My Sweet",1990,114 ,"Crime, Drama, Mystery",6.5
The Grifters,1990,110 ,"Crime, Drama, Thriller",6.9
Vincent & Theo,1990,138 ,"Biography, Drama",6.9
Ghayal,1990,163 ,"Action, Crime, Drama",7.7
Awakenings,1990,121 ,"Biography, Drama",7.8
The Field,1990,107 ,"Drama, Thriller",7.3
Raise the Red Lantern,1991,125 ,"Drama, Romance",8.1
Kit Kat,1991,129 ,"Comedy, Drama, Romance",8.2
La Belle Noiseuse,1991,238 ,Drama,7.5
Boyz n the Hood,1991,112 ,"Crime, Drama",7.8
A Scene at the Sea,1991,101 ,"Comedy, Drama, Romance",7.5
Dogfight,1991,94 ,"Comedy, Drama, Romance",7.3
Daughters of the Dust,1991,113 ,"Drama, History, Romance",6.7
Fried Green Tomatoes,1991,130 ,Drama,7.7
The Fisher King,1991,137 ,"Comedy, Drama, Fantasy",7.5
Defending Your Life,1991,112 ,"Comedy, Drama, Fantasy",7.2
City of Hope,1991,129 ,"Crime, Drama",7.3
Toto the Hero,1991,91 ,"Comedy, Drama, Fantasy",7.5
Zombie and the Ghost Train,1991,88 ,"Comedy, Drama, Music",7.2
The Elementary School,1991,100 ,"Adventure, Comedy, Drama",7.8
A Brief History of Time,1991,80 ,"Documentary, Biography",7.3
Proof,1991,86 ,"Drama, Romance",7.2
Poison,1991,85 ,"Drama, Horror, Romance",6.3
Dead Again,1991,107 ,"Crime, Drama, Mystery",6.8
Black Robe,1991,101 ,"Adventure, Drama, War",7.1
Mediterraneo,1991,96 ,"Comedy, Drama, War",7.4
The Man in the Moon,1991,99 ,"Drama, Romance",7.3
Baraka,1992,96 ,Documentary,8.5
Beasts of No Nation,2015,137 ,"Drama, War",7.7
Japan,2002,122 ,Drama,6.9
Al-lail,1992,116 ,"Drama, History, War",7.6
Malcolm X,1992,202 ,"Biography, Drama, History",7.7
Hill of No Return,1992,165 ,"Crime, Drama, History",8.2
Videograms of a Revolution,1992,106 ,"Documentary, History, War",8.1
Hard Boiled,1992,128 ,"Action, Crime, Thriller",7.7
Ram Ke Naam,1992,90 ,Documentary,8.9
Céline,1992,88 ,Drama,7.0
Twin Peaks: Fire Walk with Me,1992,134 ,"Drama, Horror, Mystery",7.3
The Rocking Horsemen,1992,135 ,Comedy,7.1
The Oak,1992,105 ,"Comedy, Drama",7.9
Rebels of the Neon God,1992,106 ,"Crime, Drama, Romance",7.5
Birthplace,1992,47 ,Documentary,8.0
Hyenas,1992,110 ,"Comedy, Drama",7.4
Brother's Keeper,1992,104 ,"Documentary, Crime, Mystery",7.5
Orlando,1992,94 ,"Biography, Drama, Fantasy",7.1
My Cousin Vinny,1992,120 ,"Comedy, Crime",7.6
Deep Cover,1992,107 ,"Action, Crime, Thriller",7.0
Manufacturing Consent: Noam Chomsky and the Media,1992,167 ,"Documentary, Biography, War",8.1
Husbands and Wives,1992,108 ,"Comedy, Drama, Romance",7.5
1991: The Year Punk Broke,1992,99 ,"Documentary, History, Music",7.3
A Heart in Winter,1992,105 ,"Drama, Music, Romance",7.6
A League of Their Own,1992,128 ,"Comedy, Drama, Sport",7.3
The Stolen Children,1992,114 ,"Crime, Drama",7.6
Man Bites Dog,1992,95 ,"Comedy, Crime, Drama",7.4
In the Land of the Deaf,1992,99 ,Documentary,7.6
The Shadow Play,1993,103 ,"Drama, Fantasy",7.7
The Terrorism and the Kebab,1992,105 ,"Action, Comedy, Crime",7.7
The Best Intentions,1992,182 ,"Biography, Drama, Romance",7.7
Surviving Desire,1992,53 ,"Comedy, Drama, Romance",7.3
The Story of Qiu Ju,1992,100 ,"Comedy, Drama",7.6
Simple Men,1992,105 ,"Crime, Drama, Romance",7.1
Careful,1992,100 ,"Comedy, Drama, Horror",7.0
Candyman,1992,99 ,"Horror, Thriller",6.7
Strictly Ballroom,1992,94 ,"Comedy, Drama, Music",7.2
Requiem for a Handsome Bastard,1992,93 ,"Crime, Drama",7.4
Light Sleeper,1992,103 ,"Crime, Drama",6.9
Sun of the Sleepless,1992,123 ,"Drama, Crime",8.5
Dragon Inn,1992,88 ,"Action, Thriller",7.2
L.627,1992,145 ,"Crime, Drama, Thriller",7.2
Swordsman II,1992,112 ,"Action, Fantasy",7.1
Cows,1992,96 ,"Drama, Mystery, Romance",7.1
Losses to Be Expected,1993,118 ,Documentary,7.3
The Panama Deception,1992,91 ,"Documentary, History, War",7.5
Psy,1992,104 ,"Action, Crime, Drama",7.6
Juice,1992,95 ,"Action, Crime, Drama",7.0
Little Sharks,1992,87 ,"Comedy, Romance",7.5
The Tune,1992,69 ,"Animation, Comedy, Fantasy",7.0
Sneakers,1992,126 ,"Comedy, Crime, Drama",7.1
A River Runs Through It,1992,123 ,Drama,7.2
Daens,1992,138 ,"Biography, Drama, History",7.5
Map of the Human Heart,1992,109 ,"Adventure, Drama, Romance",7.0
Singles,1992,99 ,"Comedy, Drama, Music",6.7
The Hand That Rocks the Cradle,1992,110 ,"Drama, Thriller",6.7
Divertimento,1992,125 ,Drama,7.4
Indochine,1992,160 ,"Drama, Romance, War",7.0
Farewell My Concubine,1992,171 ,"Drama, Music, Romance",8.1
Three Colors: Blue,1993,94 ,"Drama, Music, Mystery",7.9
Safe Journey,1993,103 ,"Documentary, Music",8.1
Silverlake Life: The View from Here,1993,99 ,Documentary,8.1
Naked,1993,131 ,"Comedy, Drama",7.7
Moving,1993,125 ,Drama,7.6
Patlabor 2: The Movie,1993,113 ,"Animation, Action, Drama",7.5
Blue,1993,79 ,"Biography, Drama",7.3
The Strategy of the Snail,1993,116 ,"Comedy, Drama",7.7
Abraham's Valley,1993,187 ,Drama,7.3
In the Name of the Father,1993,133 ,"Biography, Crime, Drama",8.1
Time Indefinite,1993,114 ,"Documentary, Biography",7.7
Green Snake,1993,99 ,"Drama, Fantasy",7.2
Sonatine,1993,94 ,"Action, Comedy, Crime",7.5
The Bed You Sleep In,1993,117 ,Drama,7.3
Dear Diary,1993,100 ,"Biography, Comedy, Drama",7.2
A Bronx Tale,1993,121 ,"Crime, Drama",7.8
The Last Bolshevik,1993,120 ,"Documentary, Biography, History",7.9
Philadelphia,1993,125 ,Drama,7.7
Belovy,1992,60 ,Documentary,7.5
The Blue Kite,1993,140 ,Drama,7.5
The Joy Luck Club,1993,139 ,Drama,7.7
The Puppetmaster,1993,142 ,"Biography, Drama, War",7.1
Menace II Society,1993,97 ,"Crime, Drama, Thriller",7.5
"The Tree, the Mayor and the Mediatheque",1993,105 ,"Comedy, Drama",6.9
The Scent of Green Papaya,1993,104 ,"Drama, Music, Romance",7.3
Strawberry & Chocolate,1993,108 ,"Comedy, Drama, Romance",7.4
Iron Monkey,1993,85 ,"Action, Crime, Drama",7.5
The Sandlot,1993,101 ,"Comedy, Drama, Family",7.8
Bad Boy Bubby,1993,114 ,"Comedy, Crime, Drama",7.3
Thirty Two Short Films About Glenn Gould,1993,98 ,"Biography, Drama, Music",7.3
Stalingrad,1993,134 ,"Drama, War",7.5
The Yellow Mercedes,1993,90 ,"Action, Comedy, Drama",7.8
Sopyonje,1993,112 ,"Drama, Music",7.6
"Clean, Shaven",1993,79 ,"Crime, Drama, Thriller",7.0
Raining Stones,1993,90 ,"Comedy, Drama",7.3
The Secret Adventures of Tom Thumb,1993,60 ,"Animation, Adventure, Drama",7.2
"C'est la vie, mon chéri",1993,105 ,"Drama, Romance",7.6
The Music of Chance,1993,98 ,Drama,7.1
Fearless,1993,122 ,"Drama, Thriller",7.1
The Birth of Love,1993,94 ,Drama,6.9
The Cement Garden,1993,101 ,Drama,7.0
Searching for Bobby Fischer,1993,109 ,"Biography, Drama, Sport",7.4
Cronos,1992,94 ,"Drama, Fantasy, Horror",6.7
Germinal,1993,160 ,"Drama, Romance",7.1
Invictus,2009,134 ,"Action, Adventure, Biography",7.3
Flags of Our Fathers,2006,135 ,"Action, Adventure, Drama",7.1
Bound by Honor,1993,180 ,"Crime, Drama",7.9
Hoop Dreams,1994,170 ,"Documentary, Drama, Sport",8.3
Three Colors: Red,1994,99 ,"Drama, Mystery, Romance",8.1
To Live,1994,133 ,"Drama, War",8.3
In the Heat of the Sun,1994,134 ,"Drama, Romance",8.1
Crumb,1994,119 ,"Documentary, Biography, Comedy",8.0
A Borrowed Life,1994,167 ,Drama,7.5
What Happened Was...,1994,91 ,"Comedy, Drama, Romance",7.3
Exotica,1994,103 ,Drama,7.0
London,1994,85 ,Documentary,7.3
The Legend of Drunken Master,1994,102 ,"Action, Comedy",7.5
Crooklyn,1994,115 ,"Comedy, Drama",7.0
"The Adventures of Priscilla, Queen of the Desert",1994,104 ,"Comedy, Music",7.5
Fresh,1994,114 ,"Crime, Drama, Thriller",7.5
Twenty Hours,1965,110 ,Drama,7.6
Mattie the Goose-Boy,1977,70 ,"Animation, Adventure, Comedy",8.2
"Back to Back, Face to Face",1994,148 ,Drama,8.2
The Little Fox,1981,79 ,"Animation, Adventure, Comedy",8.3
Wild Reeds,1994,110 ,Drama,7.3
Crows,1994,66 ,Drama,7.2
Ladybird Ladybird,1994,101 ,Drama,7.4
Muriel's Wedding,1994,106 ,"Comedy, Drama",7.2
Three Colors: White,1994,92 ,"Comedy, Drama, Romance",7.6
Down to Earth,1994,110 ,Drama,6.9
Queen Margot,1994,161 ,"Biography, Drama, History",7.4
Cold Water,1994,95 ,Drama,7.0
Quiz Show,1994,133 ,"Biography, Drama, History",7.5
Shallow Grave,1994,89 ,"Crime, Drama, Thriller",7.3
Cemetery Man,1994,105 ,"Comedy, Horror",7.1
Bandit Queen,1994,119 ,"Action, Biography, Crime",7.5
The Secret of Roan Inish,1994,103 ,"Drama, Family, Fantasy",7.4
Lisbon Story,1994,100 ,"Drama, Music",7.1
Fist of Legend,1994,103 ,"Action, Drama",7.5
Barcelona,1994,101 ,"Comedy, Drama, Romance",7.0
The Ride,1994,90 ,"Comedy, Drama, Romance",7.3
Octobre,1994,97 ,Drama,7.4
Lamerica,1994,116 ,"Comedy, Drama",7.4
Ashes of Time,1994,100 ,"Action, Drama",7.0
The Madness of King George,1994,110 ,"Biography, Comedy, Drama",7.2
Nightwatch,1994,107 ,Thriller,7.2
Swimming with Sharks,1994,93 ,"Comedy, Crime",7.0
Fear City: A Family-Style Comedy,1994,100 ,"Comedy, Horror",7.5
Immortal Beloved,1994,121 ,"Biography, Drama, Music",7.4
Whale Music,1994,107 ,"Comedy, Drama",7.1
Maborosi,1995,110 ,Drama,7.5
Love Letter,1995,117 ,"Drama, Romance",7.9
The Courtyard of the Ballads,1942,121 ,"Comedy, Musical",7.8
The Hasty Heart,1949,102 ,"Drama, War",7.3
I Love You Again,1940,99 ,"Comedy, Romance",7.4
The Fighting Sullivans,1944,112 ,"Biography, Drama, History",7.5
Our Vines Have Tender Grapes,1945,105 ,"Drama, Family",7.6
It Happened on Fifth Avenue,1947,116 ,"Comedy, Music, Romance",7.6
The Pirate,1948,102 ,"Adventure, Comedy, Musical",6.9
The Mating Season,1951,101 ,"Comedy, Drama, Romance",7.4
The Star,1952,89 ,"Drama, Romance",7.0
"Barrel Piano, Poverty and Earnestness",1955,91 ,"Comedy, Music",7.5
Cloud Atlas,2012,172 ,"Drama, Mystery, Sci-Fi",7.4
Heidi,2015,111 ,"Drama, Family",7.4
City Island,2009,104 ,"Comedy, Drama",7.3
Shanghai Triad,1995,108 ,"Crime, Drama, History",7.1
The Flower of My Secret,1995,103 ,"Comedy, Drama",7.0
The Confessional,1995,100 ,"Drama, Mystery, Thriller",7.4
Priest,1994,98 ,"Drama, Romance",7.1
Nobody Will Speak of Us When We're Dead,1995,104 ,"Crime, Drama, Thriller",6.9
Richard III,1995,110 ,"Drama, Sci-Fi, War",7.3
A Chinese Odyssey: Part One - Pandora's Box,1995,87 ,"Action, Adventure, Comedy",7.5
Zero Kelvin,1995,113 ,Drama,7.3
Nelly & Monsieur Arnaud,1995,106 ,Drama,7.2
"Institute Benjamenta, or This Dream That One Calls Human Life",1995,105 ,Drama,7.0
Cyclo,1995,123 ,"Crime, Drama",7.2
The Deathmaker,1995,110 ,"Crime, Drama",7.5
Macross Plus Movie Edition,1995,115 ,"Animation, Action, Drama",7.6
The King of Masks,1995,91 ,Drama,7.7
Antonia's Line,1995,102 ,"Comedy, Drama",7.4
Living in Oblivion,1995,90 ,"Comedy, Drama",7.5
Land and Freedom,1995,109 ,"Drama, War",7.5
The Blade,1995,105 ,Action,7.0
A Chinese Odyssey: Part 2 - Cinderella,1995,98 ,"Action, Adventure, Comedy",7.8
The Garden,1995,99 ,Comedy,7.6
"Good Men, Good Women",1995,108 ,"Drama, Romance",7.1
Hello Cinema,1995,75 ,"Documentary, Comedy, Drama",7.7
The Celluloid Closet,1995,102 ,"Documentary, History",7.8
Tropical Fish,1995,107 ,"Comedy, Drama",7.6
Like Grains of Sand,1995,129 ,"Drama, Romance",7.4
Tokyo Fist,1995,87 ,"Action, Drama, Horror",7.0
Bombay,1995,130 ,"Drama, Romance",8.1
The White Balloon,1995,85 ,"Drama, Family",7.6
The Cure,1995,97 ,"Adventure, Drama",7.7
Murder in the First,1995,122 ,"Drama, Thriller",7.3
Strange Days,1995,145 ,"Crime, Drama, Sci-Fi",7.2
Wonder, 2017,113 ,"Drama, Family",7.9
Michael Collins,1996,133 ,"Biography, Drama, Thriller",7.1
A Self-Made Hero,1996,107 ,"Comedy, Drama",7.2
The English Patient,1996,162 ,"Drama, Romance, War",7.4
Ridicule,1996,102 ,"Comedy, Drama, History",7.3
Voci nel tempo,1996,86 ,Drama,8.0
A Moment of Innocence,1996,78 ,"Comedy, Drama",7.8
Secrets & Lies,1996,136 ,"Comedy, Drama",8.0
Comrades: Almost a Love Story,1996,118 ,"Drama, Romance",8.1
Paradise Lost: The Child Murders at Robin Hood Hills,1996,150 ,"Documentary, Crime",8.2
Sling Blade,1996,135 ,Drama,8.0
Kolya,1996,105 ,"Comedy, Drama, Music",7.7
The Promise,1996,90 ,Drama,7.7
Somersault in a Coffin,1996,76 ,Drama,7.7
Shine,1996,105 ,"Biography, Drama, Music",7.6
Shall We Dance?,1996,136 ,"Comedy, Drama, Music",7.7
Microcosmos,1996,80 ,Documentary,7.9
Haru,1996,118 ,"Drama, Romance",7.6
The Watermelon Woman,1996,90 ,"Comedy, Drama, Romance",7.1
Nobody's Business,1996,60 ,"Documentary, Biography",8.0
When We Were Kings,1996,88 ,"Documentary, Sport",8.0
"Goodbye South, Goodbye",1996,116 ,"Crime, Drama",7.2
Big Night,1996,109 ,"Drama, Romance",7.3
Waiting for Guffman,1996,84 ,Comedy,7.4
Kids Return,1996,107 ,"Crime, Drama, Sport",7.4
Ponette,1996,97 ,Drama,7.5
Irma Vep,1996,99 ,"Comedy, Drama",7.0
Beautiful Thing,1996,90 ,"Comedy, Drama, Romance",7.6
Thesis,1996,125 ,"Crime, Horror, Mystery",7.4
Conspirators of Pleasure,1996,85 ,"Comedy, Drama",7.3
Lilies,1996,95 ,"Crime, Drama, Fantasy",7.4
Amsterdam Global Village,1996,245 ,Documentary,7.5
The Birdcage,1996,117 ,Comedy,7.2
Few of Us,1996,105 ,Drama,7.2
Lone Star,1996,135 ,"Drama, Mystery, Western",7.4
The Daytrippers,1996,87 ,"Comedy, Drama",7.0
Sleeping Man,1996,103 ,Drama,7.1
Hard Core Logo,1996,92 ,"Comedy, Drama, Music",7.2
Deep Crimson,1996,114 ,"Crime, Drama, Romance",7.2
Will It Snow for Christmas?,1996,90 ,Drama,7.0
Trees Lounge,1996,95 ,"Comedy, Drama",7.1
Earth,1996,125 ,"Drama, Fantasy, Romance",7.3
Bandwagon,1996,103 ,"Comedy, Music",7.1
The People vs. Larry Flynt,1996,130 ,"Biography, Drama",7.3
Brassed Off,1996,108 ,"Comedy, Drama, Music",7.2
Hype!,1996,84 ,"Documentary, History, Music",7.6
Family Resemblances,1996,110 ,"Comedy, Drama",7.4
Pusher,1996,110 ,"Crime, Thriller",7.3
Captain Conan,1996,129 ,"Drama, War",7.2
The Eighth Day,1996,118 ,"Comedy, Drama",7.5
Asphalt Tango,1996,100 ,Comedy,8.0
Swallowtail Butterfly,1996,148 ,"Crime, Drama",7.5
Blue Eyed,1996,90 ,Documentary,8.2
Crash,1996,100 ,Drama,6.4
Children of Heaven,1997,89 ,"Drama, Family, Sport",8.2
Cure,1997,111 ,"Crime, Horror, Mystery",7.5
Innocence,1997,110 ,Drama,8.1
Good Will Hunting,1997,126 ,"Drama, Romance",8.3
Fireworks,1997,103 ,"Crime, Drama, Romance",7.7
Made in Hong Kong,1997,109 ,"Comedy, Crime, Drama",7.5
L.A. Confidential,1997,138 ,"Crime, Drama, Mystery",8.2
The Mirror,1997,95 ,Drama,7.5
4 Little Girls,1997,102 ,"Documentary, History",7.8
Eye of God,1997,84 ,"Crime, Drama",7.3
Many Wars Ago,1970,100 ,"Drama, War",7.6
Career Girls,1997,83 ,"Comedy, Drama",7.1
Affliction,1997,114 ,"Drama, Mystery, Thriller",6.9
Lawn Dogs,1997,101 ,Drama,7.4
TwentyFourSeven,1997,96 ,"Comedy, Drama, Romance",7.0
In the Company of Men,1997,97 ,"Comedy, Drama",7.1
As Good as It Gets,1997,139 ,"Comedy, Drama, Romance",7.7
Insomnia,1997,96 ,"Crime, Mystery, Thriller",7.2
The Apostle,1997,134 ,Drama,7.2
Trys istorijos,1997,105 ,"Comedy, Crime",7.2
The Life of Jesus,1997,96 ,"Drama, Romance",7.0
Licensed to Kill,1997,76 ,Documentary,7.0
Character,1997,122 ,"Crime, Drama, Mystery",7.7
Waco: The Rules of Engagement,1997,165 ,"Documentary, History",7.9
Grosse Pointe Blank,1997,107 ,"Action, Comedy, Crime",7.3
Cholera Street,1997,120 ,"Crime, Drama, Romance",7.6
Keep Cool,1997,93 ,Comedy,7.2
The Thief,1997,96 ,"Crime, Drama",7.6
Death on a Full Moon Day,1997,74 ,"Drama, War",7.8
Voyage to the Beginning of the World,1997,91 ,"Biography, Drama",6.9
Four Days in September,1997,110 ,"Action, Drama, History",7.4
Nil by Mouth,1997,128 ,Drama,7.3
Gallivant,1996,100 ,Documentary,6.9
Sick,1997,90 ,Documentary,7.5
The River,1997,115 ,"Drama, Romance",7.2
Train of Shadows,1997,88 ,Drama,7.3
Suzaku,1997,95 ,Drama,7.4
The Sweet Hereafter,1997,112 ,Drama,7.5
The Crazy Stranger,1997,102 ,"Comedy, Drama, Music",7.6
Eve's Bayou,1997,108 ,Drama,7.2
The Castle,1997,85 ,"Comedy, Drama",7.6
Behind the Lines,1997,96 ,"Biography, Drama, History",7.0
Love Stories,1997,87 ,"Romance, Comedy",7.0
Gridlock'd,1997,91 ,"Comedy, Crime, Drama",6.9
Ulee's Gold,1997,113 ,Drama,7.0
Winter Sleepers,1997,122 ,"Drama, Romance, Thriller",7.2
Bag of Rice,1996,80 ,"Drama, Family",7.2
The Full Monty,1997,91 ,"Comedy, Drama",7.2
Knockin' on Heaven's Door,1997,87 ,"Action, Crime, Comedy",7.8
Three Men and a Leg,1997,100 ,Comedy,7.7
Men with Guns, 1997,127 ,"Adventure, Drama",7.6
The Butcher Boy,1997,110 ,"Comedy, Drama",7.1
The Color of Paradise,1999,90 ,"Drama, Family",8.1
The Little Girl Who Sold the Sun,1999,45 ,"Drama, Family",7.3
Kikujiro,1999,122 ,"Drama, Comedy",7.7
Rosetta,1999,95 ,Drama,7.4
Herod's Law,1999,123 ,"Comedy, Crime, Drama",7.8
A Room for Romeo Brass,1999,90 ,"Comedy, Drama",7.6
Not One Less,1999,106 ,Drama,7.7
Topsy-Turvy,1999,160 ,"Biography, Comedy, Drama",7.3
Audition,1999,115 ,"Drama, Horror, Mystery",7.1
The Mission,1999,84 ,Action,7.5
Office Space,1999,89 ,Comedy,7.6
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,91 ,"Documentary, Biography",7.5
Tempting Heart,1999,115 ,"Drama, Romance",7.1
The Girl on the Bridge,1999,90 ,"Comedy, Drama, Romance",7.5
The Road Home,1999,89 ,"Drama, Romance",7.8
Sicily!,1999,66 ,Drama,6.8
Clouds of May,1999,130 ,"Comedy, Drama",7.3
Man on the Moon,1999,118 ,"Biography, Comedy, Drama",7.4
The Spring Gathering,1999,178 ,"Adventure, Comedy, Drama",7.5
Spring Forward,1999,110 ,Drama,7.5
The Debt,1999,106 ,"Drama, Crime, Thriller",7.8
Solas,1999,101 ,Drama,7.5
After the Rain,1999,91 ,Drama,7.7
Garage Olimpo,1999,98 ,Drama,7.3
Tuvalu,1999,101 ,"Comedy, Drama, Romance",7.3
Bringing Out the Dead,1999,121 ,"Drama, Thriller",6.8
Running Out of Time,1999,93 ,"Action, Crime, Drama",7.3
Humanity,1999,141 ,"Drama, Mystery",6.8
Shower,1999,92 ,"Comedy, Drama",7.5
Wonderland,1999,108 ,Drama,7.1
The Children of the Marshland,1999,115 ,"Comedy, Drama",7.4
Crazy,1999,97 ,"Documentary, War",7.6
Limbo, 1999,126 ,"Adventure, Drama, Thriller",7.0
The Idiot Returns,1999,99 ,"Romance, Comedy, Drama",7.2
The Hurricane,1999,146 ,"Biography, Drama, Sport",7.6
Human Traffic,1999,99 ,"Comedy, Music",7.1
Go,1999,102 ,"Comedy, Crime",7.2
6ixtynin9,1999,118 ,"Comedy, Crime, Thriller",7.2
Three Kings,1999,114 ,"Action, Adventure, Comedy",7.1
Regret to Inform,1998,72 ,"Documentary, War",7.3
The Winslow Boy,1999,104 ,"Drama, Romance",7.3
Twin Falls Idaho,1999,111 ,Drama,7.1
Felicia's Journey,1999,116 ,"Drama, Thriller",7.0
Stir of Echoes,1999,99 ,"Horror, Mystery, Thriller",6.9
Mifune,1999,98 ,"Romance, Comedy, Drama",7.1
Butterfly,1999,96 ,"Drama, War",7.6
Bang Boom Bang - Ein todsicheres Ding,1999,110 ,"Action, Comedy, Crime",7.5
Mansfield Park,1999,112 ,"Comedy, Drama, Romance",7.0
Himalaya,1999,108 ,Drama,7.4
Vaastav: The Reality,1999,145 ,"Action, Crime, Drama",8.0
One Piece!,1999,75 ,Comedy,8.5
Cosy Dens,1999,115 ,"Comedy, Drama",8.1
Postmen in the Mountains,1999,93 ,Drama,7.8
East/West,1999,121 ,"Adventure, Drama, History",7.4
It All Starts Today,1999,117 ,Drama,7.4
Gigantic,1999,80 ,"Comedy, Drama",7.6
Smiling Fish & Goat on Fire,1999,90 ,"Comedy, Romance",7.4
The Celebration,1998,105 ,Drama,8.0
After Life,1998,119 ,"Drama, Fantasy",7.6
Satya,1998,170 ,"Action, Crime, Drama",8.3
The Boys,1998,86 ,"Crime, Drama",6.9
West Beirut,1998,105 ,"Comedy, Drama, Romance",7.6
The Hole,1998,95 ,"Drama, Fantasy, Musical",7.5
The Cruise,1998,76 ,Documentary,7.6
Happiness,1998,134 ,"Comedy, Drama",7.7
Buffalo '66,1998,110 ,"Comedy, Drama, Romance",7.4
Flowers of Shanghai,1998,113 ,Drama,7.3
Christmas in August,1998,97 ,"Drama, Romance",7.6
Bullet Ballet,1998,87 ,"Crime, Drama, Thriller",6.9
Lovers of the Arctic Circle,1998,112 ,"Drama, Mystery, Romance",7.6
On Board,1998,102 ,"Crime, Drama",7.9
The Last Days of Disco,1998,113 ,"Comedy, Drama, Music",6.7
Anxiety,1998,110 ,Drama,7.0
A Simple Plan,1998,121 ,"Crime, Drama, Thriller",7.5
Pakraštys,1998,95 ,Drama,7.8
The Apple,1998,86 ,Drama,7.2
Velvet Goldmine,1998,118 ,"Drama, Music",6.9
Aprile,1998,78 ,"Biography, Comedy",6.9
Toto Who Lived Twice,1998,93 ,"Comedy, Drama",6.9
The Dreamlife of Angels,1998,113 ,Drama,7.4
"Pizza, Beer, and Cigarettes",1998,92 ,"Crime, Drama",7.0
Show Me Love,1998,89 ,"Comedy, Drama, Romance",7.5
Le Dîner de Cons,1998,80 ,Comedy,7.6
Dil Se..,1998,163 ,"Drama, Romance",7.5
La Ciudad (the City),1998,88 ,Drama,7.3
The Miracle of P. Tinto,1998,106 ,"Comedy, Fantasy",7.1
Only God Sees Me,1998,120 ,"Comedy, Romance",6.9
Xiu Xiu: The Sent-Down Girl,1998,99 ,Drama,7.4
Chitra Nodir Pare,1999,110 ,Romance,7.9
Orphans,1998,101 ,"Comedy, Drama",7.0
State of Dogs,1998,91 ,Documentary,7.4
The Red Violin,1998,130 ,"Drama, Music, Mystery",7.6
Waking Ned Devine,1998,91 ,Comedy,7.3
Gods and Monsters,1998,105 ,"Biography, Drama",7.3
