Pavadinimas,Metai,Trukmė,Žanras,Reitingas
The Big Sky,1952,140 ,"Adventure, Drama, Western",6.9
Fanfan la Tulipe,1952,102 ,"Adventure, Comedy, Romance",7.2
Seven Brides for Seven Brothers,1954,102 ,"Musical, Romance, Western",7.3
Senso,1954,123 ,"Drama, Romance, War",7.4
Sansho the Bailiff,1954,124 ,Drama,8.4
Salt of the Earth,1954,94 ,"Drama, History",7.4
Sabrina,1954,113 ,"Comedy, Drama, Romance",7.6
Rear Window,1954,112 ,"Mystery, Thriller",8.5
Johnny Guitar,1954,110 ,"Drama, Western",7.6
Dial M for Murder,1954,105 ,"Crime, Thriller",8.2
A Story from Chikamatsu,1954,102 ,"Drama, Romance, Thriller",8.0
Carmen Jones,1954,105 ,"Drama, Musical, Romance",6.8
The Caine Mutiny,1954,124 ,"Drama, War",7.7
The Barefoot Contessa,1954,128 ,"Crime, Drama, Mystery",6.9
Animal Farm,1954,72 ,"Animation, Drama",7.2
Forbidden Games,1952,86 ,"Comedy, Drama, War",8.0
High Noon,1952,85 ,"Drama, Thriller, Western",8.0
The Quiet Man,1952,129 ,"Comedy, Drama, Romance",7.7
Singin' in the Rain,1952,103 ,"Comedy, Musical, Romance",8.3
The Band Wagon,1953,112 ,"Comedy, Musical, Romance",7.4
From Here to Eternity,1953,118 ,"Drama, Romance, War",7.6
Gentlemen Prefer Blondes,1953,91 ,"Comedy, Musical, Romance",7.1
House of Wax,1953,88 ,Horror,7.0
Julius Caesar,1953,120 ,"Drama, History",7.2
The Earrings of Madame De...,1953,105 ,"Drama, Romance",7.9
Monsieur Hulot's Holiday,1953,83 ,Comedy,7.3
The Naked Spur,1953,91 ,"Drama, Thriller, Western",7.3
Niagara,1953,92 ,"Film-Noir, Thriller",7.0
Pickup on South Street,1953,80 ,"Crime, Film-Noir, Mystery",7.6
Roman Holiday,1953,118 ,"Comedy, Romance",8.0
Shane,1953,118 ,"Drama, Western",7.6
Stalag 17,1953,120 ,"Comedy, Drama, War",8.0
